person_unique_id,job_id,panel_number,round_number,insurance_offered,temporary_job,salaried_employee,hourly_wage,hours_per_week
2460006102,24600061027102,24,7,No,Inapplicable,No,11.0,43.0
2460006102,24600061028102,24,8,No,Inapplicable,No,11.0,43.0
2460006102,24600061029102,24,9,No,Inapplicable,Inapplicable,Inapplicable,43.0
2460010101,24600101017103,24,7,Inapplicable,Inapplicable,Inapplicable,Inapplicable,40.0
2460010101,24600101017104,24,7,Inapplicable,No,Yes,Inapplicable,40.0
2460010101,24600101018104,24,8,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460010101,24600101019104,24,9,Inapplicable,Inapplicable,Yes,Inapplicable,40.0
2460018101,24600181017103,24,7,Inapplicable,Inapplicable,No,20.2,40.0
2460018101,24600181018103,24,8,Inapplicable,Inapplicable,No,20.2,40.0
2460018101,24600181019103,24,9,Inapplicable,Inapplicable,No,20.2,40.0
2460024101,24600241017102,24,7,No,Inapplicable,No,23.0,40.0
2460024101,24600241018102,24,8,No,Inapplicable,No,24.0,40.0
2460024101,24600241019102,24,9,No,Inapplicable,No,24.0,40.0
2460026101,24600261017101,24,7,Inapplicable,Inapplicable,No,20.0,40.0
2460026101,24600261018101,24,8,Inapplicable,Inapplicable,No,20.0,40.0
2460026101,24600261019101,24,9,Inapplicable,Inapplicable,No,20.0,40.0
2460029101,24600291017101,24,7,Inapplicable,Inapplicable,No,20.01,40.0
2460029101,24600291018101,24,8,Inapplicable,Inapplicable,No,20.01,40.0
2460029101,24600291019101,24,9,Inapplicable,Inapplicable,No,20.42,40.0
2460040101,24600401017101,24,7,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460040101,24600401018101,24,8,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460040101,24600401019101,24,9,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460041101,24600411017101,24,7,Inapplicable,Inapplicable,No,29.6,50.0
2460041101,24600411018101,24,8,Inapplicable,Inapplicable,Inapplicable,Inapplicable,50.0
2460041101,24600411019104,24,9,No,No,Inapplicable,Inapplicable,40.0
2460041102,24600411027102,24,7,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460041102,24600411028102,24,8,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460041102,24600411028103,24,8,No,No,Inapplicable,Inapplicable,8.0
2460041102,24600411029102,24,9,No,Inapplicable,Inapplicable,Inapplicable,40.0
2460041102,24600411029103,24,9,No,Inapplicable,Inapplicable,Inapplicable,8.0
2460052101,24600521017101,24,7,Inapplicable,Inapplicable,Yes,37.0,65.0
2460052101,24600521018101,24,8,Inapplicable,Inapplicable,Yes,Don't know,65.0
2460052101,24600521019101,24,9,Inapplicable,Inapplicable,Yes,Don't know,65.0
2460056101,24600561017103,24,7,Yes,No,Yes,Inapplicable,40.0
2460056101,24600561018103,24,8,Yes,Inapplicable,Yes,Inapplicable,40.0
2460056101,24600561019103,24,9,Yes,Inapplicable,Yes,Inapplicable,40.0
2460056108,24600561087102,24,7,Inapplicable,Inapplicable,Inapplicable,Inapplicable,55.0
2460056108,24600561087104,24,7,Yes,Yes,Yes,Inapplicable,40.0
2460056108,24600561088104,24,8,Yes,Inapplicable,Yes,Inapplicable,40.0
2460056108,24600561089104,24,9,Yes,Inapplicable,Yes,Inapplicable,40.0
